Task_ID,Order_ID,Relationship,Team_Name,Task_Type,Notes,Agent_ID,Distance(m),Total_Time_Taken(min),Task_Status,Ref_Images,Rating,Review,Latitude,Longitude,Tags,Promo_Applied,Custom_Template_ID,Task_Details_QTY,Task_Details_AMOUNT,Special_Instructions,Tip,Delivery_Charges,Discount,Subtotal,Payment_Type,Task_Category,Earning,Pricing
368032956,"YR-11262518,0",3.68E+29,Default Team,Delivery,,1150142,-,-,Assigned,-,0,-,6.5444125,3.4017378,,-,Order_Details,5,₦ 104250.00,-,-,-,-,-,-,-,-,-
368032956,"YR-11262518,0",3.68E+29,Default Team,Delivery,,1150142,-,-,Assigned,-,0,-,6.5444125,3.4017378,,-,Order_Details,1,₦ 325.00,-,₦ 0.00,₦ 0.00,₦ 0.00,104575,CASH,-,-,-
368012178,"YR-11261796,0",3.68E+29,Default Team,Delivery,,1166840,11,-,In Transit,-,0,-,6.5557996,3.392317,,-,Order_Details,5,₦ 104250.00,-,-,-,-,-,-,-,-,-
368012178,"YR-11261796,0",3.68E+29,Default Team,Delivery,,1166840,11,-,In Transit,-,0,-,6.5557996,3.392317,,-,Order_Details,1,₦ 325.00,-,₦ 0.00,₦ 0.00,₦ 0.00,104575,CASH,-,-,-
367999205,"YR-11261341,0",3.68E+29,Default Team,Delivery,,1233220,-,-,Assigned,-,0,-,6.4819611,3.3479856,,-,Order_Details,6,₦ 1950.00,-,-,-,-,-,-,-,-,-
367999205,"YR-11261341,0",3.68E+29,Default Team,Delivery,,1233220,-,-,Assigned,-,0,-,6.4819611,3.3479856,,-,Order_Details,4,₦ 83400.00,-,-,-,-,-,-,-,-,-
367999205,"YR-11261341,0",3.68E+29,Default Team,Delivery,,1233220,-,-,Assigned,-,0,-,6.4819611,3.3479856,,-,Order_Details,2,₦ 2200.00,-,₦ 0.00,₦ 0.00,₦ 0.00,87550,CASH,-,-,-
367984410,"YR-11260766,0",3.68E+29,Default Team,Delivery,,1106729,2844,24.25,Completed,-,0,-,6.5145759,3.359594,,-,Order_Details,5,₦ 104250.00,-,-,-,-,-,-,-,-,-
367984410,"YR-11260766,0",3.68E+29,Default Team,Delivery,,1106729,2844,24.25,Completed,-,0,-,6.5145759,3.359594,,-,Order_Details,1,₦ 1100.00,-,₦ 0.00,₦ 0.00,₦ 0.00,105350,CASH,-,-,-
367983493,"YR-11260736,0",3.68E+29,Default Team,Delivery,,1233220,-,-,Assigned,-,0,-,6.5143085,3.3591261,,-,Order_Details,2,₦ 41700.00,-,-,-,-,-,-,-,-,-
367983493,"YR-11260736,0",3.68E+29,Default Team,Delivery,,1233220,-,-,Assigned,-,0,-,6.5143085,3.3591261,,-,Order_Details,2,₦ 650.00,-,₦ 0.00,₦ 0.00,₦ 0.00,42350,CASH,-,-,-
367980864,"YR-11260629,0",3.68E+29,Default Team,Delivery,,1106729,-,149.72,Completed,-,0,-,6.5444125,3.4017378,,-,Order_Details,1,₦ 20850.00,-,-,-,-,-,-,-,-,-
367980864,"YR-11260629,0",3.68E+29,Default Team,Delivery,,1106729,-,149.72,Completed,-,0,-,6.5444125,3.4017378,,-,Order_Details,1,₦ 22700.00,-,-,-,-,-,-,-,-,-
367980864,"YR-11260629,0",3.68E+29,Default Team,Delivery,,1106729,-,149.72,Completed,-,0,-,6.5444125,3.4017378,,-,Order_Details,1,₦ 1100.00,-,₦ 0.00,₦ 0.00,₦ 205.00,44445,Pay Later,-,-,-
367980722,"YR-11260622,0",3.68E+29,Default Team,Delivery,,1106729,5177,169.53,Completed,-,0,-,6.6315101,3.3884346,,-,Order_Details,1,₦ 20950.00,-,-,-,-,-,-,-,-,-
367980722,"YR-11260622,0",3.68E+29,Default Team,Delivery,,1106729,5177,169.53,Completed,-,0,-,6.6315101,3.3884346,,-,Order_Details,3,₦ 975.00,-,₦ 0.00,₦ 0.00,₦ 0.00,21925,CASH,-,-,-
367979157,"YR-11260548,0",3.68E+29,Default Team,Delivery,,1211296,7572,91.9,Completed,-,0,-,6.5363476,3.3733248,,-,Order_Details,2,₦ 41700.00,-,-,-,-,-,-,-,-,-
367979157,"YR-11260548,0",3.68E+29,Default Team,Delivery,,1211296,7572,91.9,Completed,-,0,-,6.5363476,3.3733248,,-,Order_Details,1,₦ 6700.00,-,₦ 0.00,₦ 0.00,₦ 200.00,48200,CASH,-,-,-
367978457,"YR-11260514,0",3.68E+29,Default Team,Delivery,,1211296,3829,62.92,Completed,-,0,-,6.5428403,3.3849717,,-,Order_Details,6,₦ 125100.00,-,-,-,-,-,-,-,-,-
367978457,"YR-11260514,0",3.68E+29,Default Team,Delivery,,1211296,3829,62.92,Completed,-,0,-,6.5428403,3.3849717,,-,Order_Details,1,₦ 325.00,-,₦ 0.00,₦ 0.00,₦ 600.00,124825,CASH,-,-,-
367978077,"YR-11260497,0",3.68E+29,Default Team,Delivery,,1211296,-,0,Failed,-,0,-,6.5428403,3.3849717,,-,Order_Details,1,₦ 6700.00,-,-,-,-,-,-,-,-,-
367978077,"YR-11260497,0",3.68E+29,Default Team,Delivery,,1211296,-,0,Failed,-,0,-,6.5428403,3.3849717,,-,Order_Details,6,₦ 125100.00,-,₦ 0.00,₦ 0.00,₦ 200.00,131600,CASH,-,-,-
367977472,"YR-11260478,0",3.68E+29,Default Team,Delivery,,1211296,7626,98.48,Completed,-,0,-,6.5363476,3.3733248,,-,Order_Details,3,₦ 62550.00,-,-,-,-,-,-,-,-,-
367977472,"YR-11260478,0",3.68E+29,Default Team,Delivery,,1211296,7626,98.48,Completed,-,0,-,6.5363476,3.3733248,,-,Order_Details,1,₦ 6700.00,-,₦ 0.00,₦ 0.00,₦ 200.00,69050,CASH,-,-,-
367976643,"YR-11260443,0",3.68E+29,Default Team,Delivery,,1106729,13968,250.8,Completed,-,0,-,6.5362535,3.3775198,,-,Order_Details,2,₦ 41900.00,-,-,-,-,-,-,-,-,-
367976643,"YR-11260443,0",3.68E+29,Default Team,Delivery,,1106729,13968,250.8,Completed,-,0,-,6.5362535,3.3775198,,-,Order_Details,1,₦ 28500.00,-,₦ 0.00,₦ 0.00,₦ 500.00,69900,CASH,-,-,-
367790079,"YR-11255615,0",3.68E+29,Default Team,Delivery,,1166840,-,-,Assigned,-,0,-,6.5303273,3.3795602,,-,Order_Details,1,₦ 7150.00,-,-,-,-,-,-,-,-,-
367790079,"YR-11255615,0",3.68E+29,Default Team,Delivery,,1166840,-,-,Assigned,-,0,-,6.5303273,3.3795602,,-,Order_Details,1,₦ 550.00,-,₦ 0.00,₦ 0.00,₦ 0.00,7700,CASH,-,-,-
367787108,"YR-11255438,0",3.68E+29,Default Team,Delivery,,-,-,0,Failed,-,0,-,6.5242,3.3680093,,-,Order_Details,1,₦ 22100.00,-,-,-,-,-,-,-,-,-
367787108,"YR-11255438,0",3.68E+29,Default Team,Delivery,,-,-,0,Failed,-,0,-,6.5242,3.3680093,,-,Order_Details,1,₦ 1100.00,-,₦ 0.00,₦ 0.00,₦ 0.00,23200,CASH,-,-,-
