Order ID,Order Status,Category Name,SKU,Customization Group,Customization Option,Quantity,Unit Price,Cost Price,Total Cost Price,Total Price,Order Total,Sub Total,Tax,Delivery Charge,Tip,Discount,Remaining Balance,Payment Method,Additional Charge,Taxable Amount,Transaction ID,Currency Symbol,Transaction Status,Promo Code,Customer ID,Merchant ID,Description,Distance (in km),Order Time,Pickup Time,Delivery Time,Ratings,Reviews,Merchant Earning,Commission Amount,Commission Payout Status,Order Preparation Time,Redeemed Loyalty Points,Consumed Loyalty Points,Cancellation Reason,Flat Discount,Checkout Template Name,Checkout Template Value
11262518,ORDERED,Flour & Sugar,KNFS0001,,,5,20850,20370,101850,104250,104575,104575,-,-,-,-,0,CASH,-,-,0,₦,,,4645484,1048159,,11996.01,2022-02-17T12:03:13.000Z,2022-02-17T12:04:02.000Z,2022-02-17T13:00:00.000Z,,,,,,0,-,-,,0,-,-
11262518,ORDERED,Spreads,KNSP2001,,,1,325,300,300,325,104575,104575,-,-,-,-,0,CASH,-,-,0,₦,,,4645484,1048159,,11996.01,2022-02-17T12:03:13.000Z,2022-02-17T12:04:02.000Z,2022-02-17T13:00:00.000Z,,,,,,0,-,-,,0,-,-
11261796,DISPATCHED,Flour & Sugar,KNFS0001,,,5,20850,20370,101850,104250,104575,104575,-,-,-,-,0,CASH,-,-,0,₦,,,4420776,1048159,,11994.38,2022-02-17T11:09:43.000Z,2022-02-17T11:10:30.000Z,2022-02-17T13:00:00.000Z,,,,,,0,-,-,,0,-,-
11261796,DISPATCHED,Spreads,KNSP2001,,,1,325,300,300,325,104575,104575,-,-,-,-,0,CASH,-,-,0,₦,,,4420776,1048159,,11994.38,2022-02-17T11:09:43.000Z,2022-02-17T11:10:30.000Z,2022-02-17T13:00:00.000Z,,,,,,0,-,-,,0,-,-
11261341,ORDERED,Spreads,KNSP2001,,,6,325,300,1800,1950,87550,87550,-,-,-,-,0,CASH,-,-,0,₦,,,5156201,1048159,,11998.28,2022-02-17T10:32:23.000Z,2022-02-17T10:33:11.000Z,2022-02-17T11:00:00.000Z,,,,,,0,-,-,,0,-,-
11261341,ORDERED,Flour & Sugar,KNFS0001,,,4,20850,20370,81480,83400,87550,87550,-,-,-,-,0,CASH,-,-,0,₦,,,5156201,1048159,,11998.28,2022-02-17T10:32:23.000Z,2022-02-17T10:33:11.000Z,2022-02-17T11:00:00.000Z,,,,,,0,-,-,,0,-,-
11261341,ORDERED,Flour & Sugar,KNFS1202,,,2,1100,1000,2000,2200,87550,87550,-,-,-,-,0,CASH,-,-,0,₦,,,5156201,1048159,,11998.28,2022-02-17T10:32:23.000Z,2022-02-17T10:33:11.000Z,2022-02-17T11:00:00.000Z,,,,,,0,-,-,,0,-,-
11260766,COMPLETED,Flour & Sugar,KNFS0001,,,5,20850,20370,101850,104250,105350,105350,-,-,-,-,0,CASH,-,-,0,₦,,,4144068,1048159,,11996.05,2022-02-17T09:44:23.000Z,2022-02-17T09:41:54.000Z,2022-02-17T13:00:00.000Z,,,,,,0,-,210,,0,-,-
11260766,COMPLETED,Flour & Sugar,KNFS1202,,,1,1100,1000,1000,1100,105350,105350,-,-,-,-,0,CASH,-,-,0,₦,,,4144068,1048159,,11996.05,2022-02-17T09:44:23.000Z,2022-02-17T09:41:54.000Z,2022-02-17T13:00:00.000Z,,,,,,0,-,210,,0,-,-
11260736,ORDERED,Flour & Sugar,KNFS0001,,,2,20850,20370,40740,41700,42350,42350,-,-,-,-,0,CASH,-,-,0,₦,,,4417949,1048159,,11996.04,2022-02-17T09:41:14.000Z,2022-02-17T09:42:14.000Z,2022-02-17T13:00:00.000Z,,,,,,0,-,-,,0,-,-
11260736,ORDERED,Spreads,KNSP2001,,,2,325,300,600,650,42350,42350,-,-,-,-,0,CASH,-,-,0,₦,,,4417949,1048159,,11996.04,2022-02-17T09:41:14.000Z,2022-02-17T09:42:14.000Z,2022-02-17T13:00:00.000Z,,,,,,0,-,-,,0,-,-
11260629,COMPLETED,Flour & Sugar,KNFS0001,,,1,20850,20370,20370,20850,45333.9,44650,-,-,-,-,0,Pay Later,-,-,0,₦,,,4895684,1048159,,11996.01,2022-02-17T09:32:57.000Z,2022-02-17T09:33:46.000Z,2022-02-17T11:00:00.000Z,,,,,,0,41,89,,0,-,-
11260629,COMPLETED,Flour & Sugar,KNFS1101,,,1,22700,21900,21900,22700,45333.9,44650,-,-,-,-,0,Pay Later,-,-,0,₦,,,4895684,1048159,,11996.01,2022-02-17T09:32:57.000Z,2022-02-17T09:33:46.000Z,2022-02-17T11:00:00.000Z,,,,,,0,41,89,,0,-,-
11260629,COMPLETED,Flour & Sugar,KNFS5000,,,1,1100,1000,1000,1100,45333.9,44650,-,-,-,-,0,Pay Later,-,-,0,₦,,,4895684,1048159,,11996.01,2022-02-17T09:32:57.000Z,2022-02-17T09:33:46.000Z,2022-02-17T11:00:00.000Z,,,,,,0,41,89,,0,-,-
11260622,COMPLETED,Flour & Sugar,KNFS0201,,,1,20950,20500,20500,20950,21925,21925,-,-,-,-,0,CASH,-,-,0,₦,,,4081298,1048159,,11987.25,2022-02-17T09:32:29.000Z,2022-02-17T09:33:17.000Z,2022-02-17T13:00:00.000Z,,,,,,0,-,43,,0,-,-
11260622,COMPLETED,Spreads,KNSP2001,,,3,325,300,900,975,21925,21925,-,-,-,-,0,CASH,-,-,0,₦,,,4081298,1048159,,11987.25,2022-02-17T09:32:29.000Z,2022-02-17T09:33:17.000Z,2022-02-17T13:00:00.000Z,,,,,,0,-,43,,0,-,-
11260548,COMPLETED,Flour & Sugar,KNFS0001,,,2,20850,20370,40740,41700,48200,48400,-,-,-,-,0,CASH,-,-,0,₦,,,4079018,1048159,,11994.94,2022-02-17T09:27:22.000Z,2022-02-17T09:28:10.000Z,2022-02-17T11:00:00.000Z,,,,,,0,40,96,,0,-,-
11260548,COMPLETED,Noodles & Spaghetti,KNNO1102,,,1,6700,6350,6350,6700,48200,48400,-,-,-,-,0,CASH,-,-,0,₦,,,4079018,1048159,,11994.94,2022-02-17T09:27:22.000Z,2022-02-17T09:28:10.000Z,2022-02-17T11:00:00.000Z,,,,,,0,40,96,,0,-,-
