Order ID,Order Status,Category Name,SKU,Customization Group,Customization Option,Quantity,Unit Price,Cost Price,Total Cost Price,Total Price,Order Total,Sub Total,Tax,Delivery Charge,Tip,Discount,Remaining Balance,Payment Method,Additional Charge,Taxable Amount,Transaction ID,Currency Symbol,Transaction Status,Promo Code,Customer ID,Merchant ID,Description,Distance (in km),Order Time,Pickup Time,Delivery Time,Ratings,Reviews,Merchant Earning,Commission Amount,Commission Payout Status,Order Preparation Time,Debt Amount,Redeemed Loyalty Points,Consumed Loyalty Points,Cancellation Reason,Flat Discount,Checkout Template Name,Checkout Template Value
11265015,ORDERED,Cooking Fat & Oil,KKCO0487,,,1,4400,4250,4250,4400,4350,4400,-,-,-,-,0,CASH,-,-,0,KSh,,,3755460,893555,null,10.9,2022-02-17T16:36:27.000Z,2022-02-17T16:37:16.000Z,2022-02-18T08:00:00.000Z,,,,,,0,-,50,-,,0,-,-
11264651,ORDERED,Cleaning & Hygiene,KKPT280100,,,1,180,130,130,180,7255,7255,-,-,-,-,0,CASH,-,-,0,KSh,,,4541187,893555,Urgently deliver by 9.30am in the morning,6.99,2022-02-17T16:19:05.000Z,2022-02-17T16:19:53.000Z,2022-02-18T09:00:00.000Z,,,,,,0,-,-,-,,0,-,-
11264651,ORDERED,Flour & Sugar,KKFS0702,,,6,263,247,1482,1578,7255,7255,-,-,-,-,0,CASH,-,-,0,KSh,,,4541187,893555,Urgently deliver by 9.30am in the morning,6.99,2022-02-17T16:19:05.000Z,2022-02-17T16:19:53.000Z,2022-02-18T09:00:00.000Z,,,,,,0,-,-,-,,0,-,-
11264651,ORDERED,Salt & Seasoning,KKSS0002,,,10,65,58,580,650,7255,7255,-,-,-,-,0,CASH,-,-,0,KSh,,,4541187,893555,Urgently deliver by 9.30am in the morning,6.99,2022-02-17T16:19:05.000Z,2022-02-17T16:19:53.000Z,2022-02-18T09:00:00.000Z,,,,,,0,-,-,-,,0,-,-
11264651,ORDERED,Beverages,KKBE0105,,,1,249,208.5,208.5,249,7255,7255,-,-,-,-,0,CASH,-,-,0,KSh,,,4541187,893555,Urgently deliver by 9.30am in the morning,6.99,2022-02-17T16:19:05.000Z,2022-02-17T16:19:53.000Z,2022-02-18T09:00:00.000Z,,,,,,0,-,-,-,,0,-,-
11264651,ORDERED,Cooking Fat & Oil,KKCO0310,,,1,2323,2300,2300,2323,7255,7255,-,-,-,-,0,CASH,-,-,0,KSh,,,4541187,893555,Urgently deliver by 9.30am in the morning,6.99,2022-02-17T16:19:05.000Z,2022-02-17T16:19:53.000Z,2022-02-18T09:00:00.000Z,,,,,,0,-,-,-,,0,-,-
11264651,ORDERED,Cleaning & Hygiene,KKPT02501,,,1,85,58,58,85,7255,7255,-,-,-,-,0,CASH,-,-,0,KSh,,,4541187,893555,Urgently deliver by 9.30am in the morning,6.99,2022-02-17T16:19:05.000Z,2022-02-17T16:19:53.000Z,2022-02-18T09:00:00.000Z,,,,,,0,-,-,-,,0,-,-
11264651,ORDERED,Salt & Seasoning,KKSS0205,,,2,265,231.42,462.84,530,7255,7255,-,-,-,-,0,CASH,-,-,0,KSh,,,4541187,893555,Urgently deliver by 9.30am in the morning,6.99,2022-02-17T16:19:05.000Z,2022-02-17T16:19:53.000Z,2022-02-18T09:00:00.000Z,,,,,,0,-,-,-,,0,-,-
11264651,ORDERED,Flour & Sugar,KKFS0102,,,1,1410,1370,1370,1410,7255,7255,-,-,-,-,0,CASH,-,-,0,KSh,,,4541187,893555,Urgently deliver by 9.30am in the morning,6.99,2022-02-17T16:19:05.000Z,2022-02-17T16:19:53.000Z,2022-02-18T09:00:00.000Z,,,,,,0,-,-,-,,0,-,-
11264651,ORDERED,Cleaning & Hygiene,KKPT0275,,,1,250,225,225,250,7255,7255,-,-,-,-,0,CASH,-,-,0,KSh,,,4541187,893555,Urgently deliver by 9.30am in the morning,6.99,2022-02-17T16:19:05.000Z,2022-02-17T16:19:53.000Z,2022-02-18T09:00:00.000Z,,,,,,0,-,-,-,,0,-,-
11264496,ORDERED,Cooking Fat & Oil,KKCO0487,,,1,4400,4250,4250,4400,4400,4400,-,-,-,-,0,CASH,-,-,0,KSh,,,5189011,893555,Deliver on Saturday morning at 10.00a.m,1.34,2022-02-17T16:09:33.000Z,2022-02-18T15:00:00.000Z,2022-02-19T10:00:00.000Z,,,,,,0,-,-,-,,0,-,-
