Customer ID,Last Used Platform,Is Blocked,Created At,Language,Outstanding Amount,Loyalty Points,Number of employees,Number of Employees
3144837,WEB,0,2021-03-15T17:13:19.000Z,en,0,0,,
3174590,WEB,0,2021-03-20T14:15:11.000Z,en,0,0,,
3181998,WEB,0,2021-03-21T15:36:51.000Z,en,0,0,,
3191244,WEB,0,2021-03-23T08:54:00.000Z,en,0,367,,
3274222,WEB,0,2021-04-06T13:52:39.000Z,en,0,0,,
3289843,WEB,0,2021-04-09T09:51:12.000Z,en,0,21,,
3307723,WEB,0,2021-04-12T06:56:23.000Z,en,0,0,,
3320505,WEB,0,2021-04-14T06:53:42.000Z,en,0,0,,
3320510,WEB,0,2021-04-14T06:54:27.000Z,en,0,0,,
3321209,WEB,0,2021-04-14T09:01:16.000Z,en,0,7,,
3321648,WEB,0,2021-04-14T10:25:44.000Z,en,0,0,,
3321884,WEB,0,2021-04-14T11:07:38.000Z,en,0,0,,
3322509,WEB,0,2021-04-14T12:56:34.000Z,en,0,0,,
3322639,WEB,0,2021-04-14T13:11:41.000Z,en,0,0,,
3326583,WEB,0,2021-04-15T06:23:16.000Z,en,0,0,,
3326754,WEB,0,2021-04-15T07:04:07.000Z,en,0,1,,
3326869,WEB,0,2021-04-15T07:34:20.000Z,en,0,46,,
3327353,WEB,0,2021-04-15T09:38:21.000Z,en,0,2,,
3328088,WEB,0,2021-04-15T12:20:10.000Z,en,0,1,,
3328990,WEB,0,2021-04-15T15:07:51.000Z,en,0,36,,
3333265,WEB,0,2021-04-16T10:29:32.000Z,en,0,0,,
3340174,WEB,0,2021-04-17T10:56:00.000Z,en,0,2,,
3351682,WEB,0,2021-04-19T06:01:24.000Z,en,0,108,,
3357199,WEB,0,2021-04-20T07:50:30.000Z,en,0,0,,
3357267,WEB,0,2021-04-20T08:10:15.000Z,en,0,0,,
3357390,WEB,0,2021-04-20T08:37:06.000Z,en,0,5,,
3358243,WEB,0,2021-04-20T12:01:42.000Z,en,0,2,,
3358561,WEB,0,2021-04-20T12:58:07.000Z,en,0,21,,
3364801,WEB,0,2021-04-21T06:15:04.000Z,en,0,1,,
3364803,WEB,0,2021-04-21T06:16:28.000Z,en,0,48,5.0,
3364819,WEB,0,2021-04-21T06:22:54.000Z,en,0,23,,
3364893,WEB,0,2021-04-21T06:43:58.000Z,en,0,0,,
3365019,WEB,0,2021-04-21T07:15:56.000Z,en,0,68,,
3365770,WEB,0,2021-04-21T10:23:50.000Z,en,0,55,,
3368309,WEB,0,2021-04-21T18:26:04.000Z,en,0,2144,50.0,
3370587,WEB,0,2021-04-22T06:13:21.000Z,en,0,1,,
3372326,WEB,0,2021-04-22T12:56:55.000Z,en,0,252,3.0,
3376818,WEB,0,2021-04-23T04:52:20.000Z,en,0,9,,
3377901,WEB,0,2021-04-23T08:48:26.000Z,en,0,31,,
3377953,WEB,0,2021-04-23T08:57:35.000Z,en,0,422,,
3378226,WEB,0,2021-04-23T09:48:55.000Z,en,0,0,,
3378262,WEB,0,2021-04-23T09:55:37.000Z,en,0,326,,
3378287,WEB,0,2021-04-23T09:58:18.000Z,en,0,38,,
3378785,WEB,0,2021-04-23T11:30:02.000Z,en,0,4,,
3380251,WEB,0,2021-04-23T15:05:06.000Z,en,0,65,,
3384963,WEB,0,2021-04-24T07:31:29.000Z,en,0,34,,
3385533,WEB,0,2021-04-24T09:21:04.000Z,en,0,113,,
